,epiGTBN-ReliefF_filtered_corrected,casmap-region-gwas-rec_filtered_corrected,episcan_filtered_corrected,antEpiSeeker_filtered_corrected,NNweights_filtered_corrected,plink-linearRegression-Hector_filtered_corrected,epiHSIC_filtered_corrected,plink-LR_filtered_corrected,lightGBM_filtered_corrected,mbmdr-gammaMaxt-lowerOrder_filtered_corrected,epiGTBN-Episcan_filtered_corrected,mbmdr-gammaMaxt_filtered_corrected,epiGTBN-ReliefF_filtered_uncorrected,episcan-notCorrected_filtered_uncorrected,plink-boost_filtered_uncorrected,NNweights_filtered_uncorrected,lightGBM_filtered_uncorrected,epiGTBN-Episcan_filtered_uncorrected,epiGTBN-ReliefF_unfiltered_corrected,episcan_unfiltered_corrected,antEpiSeeker_unfiltered_corrected,plink-linearRegression_unfiltered_corrected,NNweights_unfiltered_corrected,epiHSIC_unfiltered_corrected,lightGBM_unfiltered_corrected,mbmdr-gammaMaxt-lowerOrder_unfiltered_corrected,epiGTBN-Episcan_unfiltered_corrected,mbmdr-gammaMaxt_unfiltered_corrected,epiGTBN-ReliefF_unfiltered_uncorrected,episcan_unfiltered_uncorrected,plink-boost_unfiltered_uncorrected,NNweights_unfiltered_uncorrected,lightGBM_unfiltered_uncorrected,epiGTBN-Episcan_unfiltered_uncorrected
epiGTBN-Episcan_filtered_corrected,,,,,,,,,,,4079.0,39.0,131.0,98.0,247.0,0.0,0.0,169.0,5.0,94.0,0.0,147.0,0.0,0.0,1.0,0.0,504.0,49.0,25.0,116.0,273.0,0.0,1.0,150.0
mbmdr-gammaMaxt_filtered_corrected,,,,,,,,,,,,1000.0,31.0,385.0,992.0,0.0,8.0,38.0,3.0,392.0,2.0,776.0,0.0,4.0,9.0,0.0,39.0,815.0,14.0,371.0,976.0,0.0,14.0,37.0
epiGTBN-ReliefF_filtered_uncorrected,,,,,,,,,,,,,4378.0,79.0,278.0,0.0,0.0,163.0,10.0,37.0,0.0,101.0,0.0,0.0,1.0,0.0,115.0,30.0,46.0,117.0,278.0,0.0,1.0,157.0
episcan-notCorrected_filtered_uncorrected,,,,,,,,,,,,,,10000.0,6530.0,2.0,10.0,157.0,3.0,3113.0,3.0,2153.0,0.0,15.0,7.0,3.0,116.0,316.0,21.0,0.0,6273.0,0.0,13.0,112.0
plink-boost_filtered_uncorrected,,,,,,,,,,,,,,,39929.0,10.0,27.0,452.0,9.0,2683.0,7.0,5069.0,0.0,18.0,17.0,5.0,252.0,809.0,41.0,7649.0,38315.0,0.0,34.0,431.0
NNweights_filtered_uncorrected,,,,,,,,,,,,,,,,12365.0,9.0,0.0,0.0,2.0,2.0,9.0,326.0,0.0,5.0,85.0,0.0,0.0,0.0,5.0,8.0,325.0,6.0,0.0
lightGBM_filtered_uncorrected,,,,,,,,,,,,,,,,,1089.0,0.0,0.0,6.0,1.0,18.0,0.0,0.0,51.0,10.0,0.0,5.0,0.0,15.0,27.0,0.0,156.0,0.0
epiGTBN-Episcan_filtered_uncorrected,,,,,,,,,,,,,,,,,,4379.0,7.0,67.0,0.0,161.0,0.0,0.0,1.0,0.0,167.0,33.0,23.0,169.0,452.0,0.0,1.0,237.0
epiGTBN-ReliefF_unfiltered_corrected,,,,,,,,,,,,,,,,,,,3946.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,2.0,64.0,3.0,9.0,0.0,0.0,7.0
episcan_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,10000.0,3.0,5510.0,0.0,27.0,9.0,5.0,112.0,387.0,17.0,6.0,3650.0,0.0,21.0,61.0
antEpiSeeker_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,55.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,5.0,10.0,0.0,3.0,0.0
plink-linearRegression_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,84009.0,0.0,22.0,20.0,2.0,160.0,769.0,30.0,2040.0,6591.0,0.0,37.0,164.0
NNweights_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,,13153.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,6391.0,0.0,0.0
epiHSIC_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,,,35.0,0.0,0.0,0.0,4.0,0.0,2.0,23.0,0.0,0.0,0.0
lightGBM_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,,,,1009.0,8.0,2.0,16.0,0.0,8.0,24.0,0.0,82.0,2.0
mbmdr-gammaMaxt-lowerOrder_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,0.0,0.0,0.0,7.0,7.0,6.0,9.0,0.0
epiGTBN-Episcan_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,4517.0,47.0,34.0,99.0,271.0,0.0,1.0,162.0
mbmdr-gammaMaxt_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,15.0,365.0,994.0,0.0,24.0,54.0
epiGTBN-ReliefF_unfiltered_uncorrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4079.0,12.0,45.0,0.0,1.0,25.0
episcan_unfiltered_uncorrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,8960.0,0.0,17.0,254.0
plink-boost_unfiltered_uncorrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52084.0,0.0,51.0,488.0
NNweights_unfiltered_uncorrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13153.0,0.0,0.0
lightGBM_unfiltered_uncorrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064.0,1.0
epiGTBN-Episcan_unfiltered_uncorrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4527.0
