,epiGTBN-ReliefF_filtered_corrected,casmap-region-gwas-rec_filtered_corrected,episcan_filtered_corrected,antEpiSeeker_filtered_corrected,NNweights_filtered_corrected,plink-linearRegression-Hector_filtered_corrected,epiHSIC_filtered_corrected,plink-LR_filtered_corrected,lightGBM_filtered_corrected,mbmdr-gammaMaxt-lowerOrder_filtered_corrected,epiGTBN-Episcan_filtered_corrected,mbmdr-gammaMaxt_filtered_corrected,epiGTBN-ReliefF_filtered_uncorrected,episcan-notCorrected_filtered_uncorrected,plink-boost_filtered_uncorrected,NNweights_filtered_uncorrected,lightGBM_filtered_uncorrected,epiGTBN-Episcan_filtered_uncorrected,epiGTBN-ReliefF_unfiltered_corrected,episcan_unfiltered_corrected,antEpiSeeker_unfiltered_corrected,plink-linearRegression_unfiltered_corrected,NNweights_unfiltered_corrected,epiHSIC_unfiltered_corrected,lightGBM_unfiltered_corrected,mbmdr-gammaMaxt-lowerOrder_unfiltered_corrected,epiGTBN-Episcan_unfiltered_corrected,mbmdr-gammaMaxt_unfiltered_corrected,epiGTBN-ReliefF_unfiltered_uncorrected,episcan_unfiltered_uncorrected,plink-boost_unfiltered_uncorrected,NNweights_unfiltered_uncorrected,lightGBM_unfiltered_uncorrected,epiGTBN-Episcan_unfiltered_uncorrected
epiGTBN-Episcan_filtered_corrected,,,,,,,,,,,100.0,4.0,20.0,1.0,1.0,0.0,0.0,26.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,42.0,4.0,9.0,6.0,1.0,0.0,0.0,33.0
mbmdr-gammaMaxt_filtered_corrected,,,,,,,,,,,,100.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,6.0,2.0,33.0,0.0,0.0,0.0,0.0,3.0,65.0,0.0,18.0,0.0,0.0,1.0,4.0
epiGTBN-ReliefF_filtered_uncorrected,,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,25.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,3.0,4.0,3.0,0.0,0.0,0.0,25.0
episcan-notCorrected_filtered_uncorrected,,,,,,,,,,,,,,100.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
plink-boost_filtered_uncorrected,,,,,,,,,,,,,,,100.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,0.0,0.0,2.0
NNweights_filtered_uncorrected,,,,,,,,,,,,,,,,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
lightGBM_filtered_uncorrected,,,,,,,,,,,,,,,,,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0
epiGTBN-Episcan_filtered_uncorrected,,,,,,,,,,,,,,,,,,100.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,31.0,3.0,5.0,6.0,1.0,0.0,0.0,35.0
epiGTBN-ReliefF_unfiltered_corrected,,,,,,,,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
episcan_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,100.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
antEpiSeeker_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,55.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0
plink-linearRegression_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,0.0,1.0,0.0,8.0,31.0,1.0,13.0,0.0,0.0,1.0,11.0
NNweights_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
epiHSIC_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,,,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightGBM_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,,,,100.0,4.0,0.0,4.0,0.0,3.0,1.0,0.0,22.0,0.0
mbmdr-gammaMaxt-lowerOrder_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
epiGTBN-Episcan_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,4.0,10.0,6.0,1.0,0.0,0.0,31.0
mbmdr-gammaMaxt_unfiltered_corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,17.0,1.0,0.0,7.0,5.0
epiGTBN-ReliefF_unfiltered_uncorrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,8.0
episcan_unfiltered_uncorrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,0.0,2.0,8.0
plink-boost_unfiltered_uncorrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,1.0,2.0
NNweights_unfiltered_uncorrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,0.0
lightGBM_unfiltered_uncorrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0
epiGTBN-Episcan_unfiltered_uncorrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
